3277;226x;2266
0701;x2xx;22x6
4809;x2x6;22x6
1581;x266;x266
7241;2266;
2934;2266;
5812;x266;1266
0263;22x6;22x6
2087;2296;
5336;8296;
6222;8296;
5546;8296;
3767;8x96;8296
4993;8296;
1266;8x96;8296
2905;8x96;8296
8252;8x96;8296
3196;8x96;8796
2369;8xx6;8x96
1791;8xx6;8x96
1698;82xx;822x
8444;82xx;82xx
4866;x2x6;8226
9258;xx2x;822x
6715;x21x;821x
0905;x2x6;8226
2094;8226;
8627;8x26;8226
8887;x226;
8636;x226;
9276;;
0722;;
1419;;
8739;;
3256;;
1547;;
0285;;
4533;;
6803;;
4225;;
3103;;
0996;;
5414;;
4512;;
7752;;
6620;;
6764;;
7205;;
8884;;
2368;;
2944;;
2526;;
3154;;
5628;;
5203;;
315;;
5426;;
7296;;
7507;;
1088;;
